# HECTON-8 SURVIVAL DATABASE FINAL
Date: 2026-04-23
Status: PENDING VERIFICATION

Mandates followed:
- DATA_Inventory_Resources_Items_SOA_Layout.txt
- CORE_Abyss_Survival_Systems_O2_Pressure_Logic.txt
- LOGI_Energy_Networks_Power_Grid_Graph_Flow.txt
- UI_Data_Streaming_ZeroGC_Optimization.txt
- UI_Localization_Babel_RTL_FontSwap_ZeroAlloc.txt

Project truths absorbed into this spec:
- Current item authoring owner is `ItemData` with `ItemCategory`, `ResourceFamily`, and `ProgressionTier Tier0..Tier3`.
- Current recipe authoring owner is `RecipeData` with fabrication groups `Materials / Components / Tools / Suit / Construction / Power`.
- Current runtime oxygen base is `SurvivalStats.oxygenConsumptionRate = 1.5` and depth pressure is `1 + depth * 0.1` in `HectonSurvivalSystem`.
- Current pressure damage begins after `safeDepth` and scales by `pressureScalePerMeter = 0.02`.
- Current module life-support anchors in `BaseModule` are `oxygenRefillRate = 15`, `breathableReserveCapacity = 120`, `airRecycleRate = 6`, `occupiedAirDrainRate = 9`, `staleAirThreshold = 0.25`, `staleAirSuitDrainRate = 3`.
- Current authored audio-log asset shells exist for `chen_m_datapad_01`, `captain_last_broadcast`, `biologist_samples`, `medic_diary`, and `atlas6_terminal_sector3` only.

[ANALYSIS]
Target:
- Exhaustive survival database for items, survival math, lore logs, logistics graph rules, and bilingual item localization seed keys.

Affected systems:
- ItemData authoring pipeline
- RecipeData and fabrication grouping
- HectonSurvivalSystem oxygen / temperature / integrity loops
- BaseModule dry-air reserve and stale-air behavior
- Narrative archive / AudioLogData / PDA stream surfaces
- Future construction power and oxygen graph nodes

Zero GC proof:
- This document is data/spec only. No runtime code changed.
- Narrative streaming schema is fixed-array oriented: numeric IDs, stable hashes, UTF-8 blob offsets, no per-open JSON parsing, no runtime string concatenation, no dynamic sorting in UI.
- Item localization registry is precomputed by stable keys and hashes so runtime can resolve table entries without generated keys.

State check:
- Progression tiers remain inside existing project limits `Tier0..Tier3`.
- Buildable rows are marked `RecipeData + Construction owner` to avoid pretending they are already direct `ItemData` loot assets.
- Existing registry/audio-log IDs are reused where they already exist; spec-only IDs are flagged as such in `RepoAnchor`.
- No claim of runtime fix. This is authored data only. Status remains `PENDING VERIFICATION` until user validates in editor/runtime.

Rule quote:
- "[REQ] Before any task, scan C:\hades\Hecton8\.agents-skills\ and load ONLY relevant mandates."
- "[RULE] Every technical report must include: REGRESSION MODEL (CPU/GC/memory/cadence/correctness) · HOT PATH IMPACT · FAILURE MODES · WHY KEPT/REJECTED."

======================================================================
1. AUTHORING CONVENTIONS
======================================================================

- Tier0 = bootstrap salvage / upper drydock / 0-120 m
- Tier1 = early colony stabilization / 120-600 m
- Tier2 = drowned factories / 600-2500 m
- Tier3 = abyssal and forbidden infrastructure / 2500-5000 m
- `Hash` = FNV-1a 32-bit of stable ID.
- `NameKey` / `DescKey` = initial localization seeds. Descriptions stay stubbed for later narrative expansion; names are fully seeded here for EN/RU.
- `EnergyDensity` is chemical or stored-energy potential in MJ/kg for economy balancing. Structural junk is explicitly zeroed.
- `ScavengeValue` is salvage desirability, not vendor price. It drives scan interest, fabrication urgency, and route choice.

Logical category split:
- RawResource: 40
- ProcessedMaterial: 30
- Component: 40
- Tool: 22
- Equipment: 13
- BuildableKit: 30
- Wreckage: 45
- Total: 220

======================================================================
2. ITEM MASTER TABLE
======================================================================

StableId|Hash|LogicalCategory|AuthoringTarget|ItemCategory|ResourceFamily|Tier|NameEN|NameRU|MassKg|VolumeL|EnergyDensityMJkg|BaseDurability|ScavengeValue|NameKey|DescKey
Data_Copper|0x59F4F85F|RawResource|ItemData|Material|ElectronicsMetal|Tier0|Copper|Медь|2.40|1.00|0.00|36|10|ITEM_DATA_COPPER_NAME|ITEM_DATA_COPPER_DESC
Data_TitaniumScrap|0xD00F5C5A|RawResource|ItemData|Material|StructuralMetal|Tier0|Titanium Scrap|Титановый лом|2.40|1.00|0.00|36|10|ITEM_DATA_TITANIUMSCRAP_NAME|ITEM_DATA_TITANIUMSCRAP_DESC
Data_IronComposite|0x72783AD3|RawResource|ItemData|Material|StructuralMetal|Tier0|Iron Composite|Железный композит|2.40|1.00|0.00|36|10|ITEM_DATA_IRONCOMPOSITE_NAME|ITEM_DATA_IRONCOMPOSITE_DESC
Data_SilicaShards|0x31E4BD68|RawResource|ItemData|Material|Crystal|Tier0|Silica Shards|Кремнеземные осколки|1.40|0.80|0.40|28|14|ITEM_DATA_SILICASHARDS_NAME|ITEM_DATA_SILICASHARDS_DESC
Data_FiberKelp|0x459F1430|RawResource|ItemData|Organic|Organic|Tier0|Fiber Kelp|Волокнистый келп|0.80|1.20|1.60|16|11|ITEM_DATA_FIBERKELP_NAME|ITEM_DATA_FIBERKELP_DESC
Data_SulfurClumps|0xA1C2A85B|RawResource|ItemData|Material|Chemical|Tier0|Sulfur Clumps|Серные сгустки|1.00|0.90|2.20|20|12|ITEM_DATA_SULFURCLUMPS_NAME|ITEM_DATA_SULFURCLUMPS_DESC
Data_HydrocarbonResin|0xB3A3599A|RawResource|ItemData|Material|Chemical|Tier0|Hydrocarbon Resin|Углеводородная смола|1.00|0.90|2.20|20|12|ITEM_DATA_HYDROCARBONRESIN_NAME|ITEM_DATA_HYDROCARBONRESIN_DESC
Data_GoldOre|0xCBB4D7FC|RawResource|ItemData|Material|ElectronicsMetal|Tier0|Gold Ore|Золотая руда|2.40|1.00|0.00|36|10|ITEM_DATA_GOLDORE_NAME|ITEM_DATA_GOLDORE_DESC
Data_SilverOre|0x2F0D505D|RawResource|ItemData|Material|ElectronicsMetal|Tier0|Silver Ore|Серебряная руда|2.40|1.00|0.00|36|10|ITEM_DATA_SILVERORE_NAME|ITEM_DATA_SILVERORE_DESC
Data_NickelOre|0x4803C5C0|RawResource|ItemData|Material|StructuralMetal|Tier0|Nickel Ore|Никелевая руда|2.40|1.00|0.00|36|10|ITEM_DATA_NICKELORE_NAME|ITEM_DATA_NICKELORE_DESC
Data_TungstenChunk|0x5A47CDAB|RawResource|ItemData|Material|StructuralMetal|Tier1|Tungsten Chunk|Вольфрамовый фрагмент|2.85|1.12|0.00|41|15|ITEM_DATA_TUNGSTENCHUNK_NAME|ITEM_DATA_TUNGSTENCHUNK_DESC
Data_RareEarthDust|0x5C634272|RawResource|ItemData|Material|Chemical|Tier1|Rare Earth Dust|Редкоземельная пыль|1.18|1.00|2.70|24|18|ITEM_DATA_RAREEARTHDUST_NAME|ITEM_DATA_RAREEARTHDUST_DESC
Data_ElectrolyteSalts|0x5302E193|RawResource|ItemData|Material|Chemical|Tier1|Electrolyte Salts|Электролитные соли|1.18|1.00|2.70|24|18|ITEM_DATA_ELECTROLYTESALTS_NAME|ITEM_DATA_ELECTROLYTESALTS_DESC
Data_LithiumCrystal|0xB28CEA78|RawResource|ItemData|Material|Crystal|Tier1|Lithium Crystal|Литиевый кристалл|1.62|0.88|0.60|32|21|ITEM_DATA_LITHIUMCRYSTAL_NAME|ITEM_DATA_LITHIUMCRYSTAL_DESC
