"QueueId","Priority","TargetFamily","AssetRole","RouteMoment","OutputNamePattern","GeminiRuns","ReferenceScope","PromptPackId","OwnerRoute","RejectIf","RequiredAfterDownload","Status"
"B30-01","P0","foam_contact","albedo_source","Waterline foam contact and wet edge","TX_B30_FoamContact_AlbedoSource_20260606_Gemini_[HHMMSS].png","0","VREF-04; VREF-11; VREF-13","PROMPT_B30_FOAM_ALBEDO","ASSET_OWNER_11; ASSET_OWNER_20","turquoise pool foam, border, text, logo, object perspective, baked lighting, hard repeating islands","Research active Crest/H8 foam slots first. Do not generate beauty foam until a missing source role is proven.","SUSPENDED_EXISTING_ROUTE_RESEARCH_FIRST"
"B30-02","P0","foam_contact","rgba_contact_mask_source","Waterline foam contact and wet edge","TX_B30_FoamContact_RGBAMaskSource_20260606_Gemini_[HHMMSS].png","0","VREF-04; VREF-11; VREF-13","PROMPT_B30_FOAM_RGBA_MASK","ASSET_OWNER_11; ASSET_OWNER_20; ASSET_OWNER_24","false-color beauty render, broad blocky fields, undocumented channels, text, border, perspective","Research active Crest/H8 foam slots and channel contract first. Generate only if a missing packed-mask role is proven.","SUSPENDED_EXISTING_ROUTE_RESEARCH_FIRST"
"B30-03","P0","photic_terrain","shell_sand_albedo_source","Photic shallows terrain readability","TX_B30_PhoticShellSand_AlbedoSource_20260606_Gemini_[HHMMSS].png","3","VREF-02; VREF-10; VREF-11; VREF-12","PROMPT_B30_SHELL_SAND_ALBEDO","ASSET_OWNER_16; ASSET_OWNER_20","macro repeated hero shells, baked shadows, perspective seabed scene, coral objects, text, logo","Tile audit; shell scale review; sidecar manifest; terrain/material readback later","READY_FOR_BROWSER_GENERATION"
"B30-04","P0","wet_basalt","shoreline_albedo_source","Coast cliff geology and shoreline scale","TX_B30_WetBasaltShoreline_AlbedoSource_20260606_Gemini_[HHMMSS].png","0","VREF-02; VREF-03; VREF-04; VREF-15","PROMPT_B30_WET_BASALT_ALBEDO","ASSET_OWNER_16; ASSET_OWNER_20","directional lighting, cliff scene perspective, large repeating cracks, muddy flat gray, watermark, border","Existing WetBasalt 1428/1429 and Batch31 promotion sources already exist. Do not generate more before slot/material proof names a concrete missing role.","SUSPENDED_EXISTING_ROUTE_RESEARCH_FIRST"
"B30-05","P0","aegir_sky","band_albedo_source","Surface sky Aegir coast first-viewport signal","TX_B30_AegirBand_AlbedoSource_20260606_Gemini_[HHMMSS].png","3","VREF-03; VREF-05; VREF-15","PROMPT_B30_AEGIR_BAND_ALBEDO","ASSET_OWNER_14; ASSET_OWNER_36","toy marble planet, stars, scene horizon, text, logo, transparent sphere, smeared low-res bands","Source review; sidecar manifest; no sky material claim before slot readback","READY_FOR_BROWSER_GENERATION"
"B30-06","P0","aegir_sky","storm_mask_source","Surface sky Aegir coast first-viewport signal","TX_B30_AegirStorm_MaskSource_20260606_Gemini_[HHMMSS].png","3","VREF-03; VREF-05; VREF-15","PROMPT_B30_AEGIR_STORM_MASK","ASSET_OWNER_14; ASSET_OWNER_36","beauty planet render, sparse black specks, blob-only mask, text, border, stars","Channel debug review; sidecar manifest; shader-slot proof later","READY_FOR_BROWSER_GENERATION"
"B30-07","P1","ui_oxygen","icon_albedo_source","HUD oxygen and cockpit readability","TX_B30_OxygenHUD_IconAlbedoSource_20260606_Gemini_[HHMMSS].png","2","VREF-09; VREF-14","PROMPT_B30_OXYGEN_ICON","ASSET_OWNER_17","word labels, complex background, black silhouette only, thin unreadable detail, logo, watermark","Alpha/key cleanup if needed; compact HUD mock review; sidecar manifest; atlas proof later","READY_FOR_BROWSER_GENERATION"
"B30-08","P1","ui_oxygen","mask_source","HUD oxygen and cockpit readability","TX_B30_OxygenHUD_MaskSource_20260606_Gemini_[HHMMSS].png","2","VREF-09; VREF-14","PROMPT_B30_OXYGEN_MASK","ASSET_OWNER_17","colored icon, gradients, text, noisy silhouette, nonuniform background","Linear mask role review; sidecar manifest; atlas/import proof later","READY_FOR_BROWSER_GENERATION"
"B30-09","P1","flora_coral","coral_albedo_source","Kelp forest flora and coral density","TX_B30_CoralFamily_AlbedoSource_20260606_Gemini_[HHMMSS].png","3","VREF-06; VREF-07; VREF-10","PROMPT_B30_CORAL_ALBEDO","ASSET_OWNER_12; ASSET_OWNER_22","single object render, aquarium toy coral, candy gradient, black background, text, logo","Texture intake audit; material-family review; no proxy promotion before Unity proof","READY_FOR_BROWSER_GENERATION"
"B30-10","P1","flora_kelp","kelp_albedo_source","Kelp forest flora and coral density","TX_B30_KelpFamily_AlbedoSource_20260606_Gemini_[HHMMSS].png","3","VREF-06; VREF-07; VREF-10","PROMPT_B30_KELP_ALBEDO","ASSET_OWNER_12; ASSET_OWNER_22","single plant cutout, flat green sheet, scene perspective, text, logo, hard border","Texture intake audit; material-family review; no proxy promotion before Unity proof","READY_FOR_BROWSER_GENERATION"
"B30-11","P1","caustic_receiver","grayscale_mask_source","Water ceiling shimmer and underwater receiver response","TX_B30_CausticReceiver_GrayscaleMaskSource_20260606_Gemini_[HHMMSS].png","3","VREF-11; VREF-13","PROMPT_B30_CAUSTIC_MASK","ASSET_OWNER_16; ASSET_OWNER_20; ASSET_OWNER_27","blue beauty render, projected scene, hard grid, text, logo, border","Tile/contrast audit; sidecar manifest; receiver material proof later","READY_FOR_BROWSER_GENERATION"
"B30-12","P1","deep_biolum","emissive_breakup_source","Deep bioluminescent route and marine-snow mood","TX_B30_DeepBiolum_EmissiveBreakupSource_20260606_Gemini_[HHMMSS].png","3","VREF-06; VREF-14","PROMPT_B30_BIOLUM_EMISSIVE","ASSET_OWNER_12; ASSET_OWNER_27","black crush, sparse random dots, sci-fi UI, text, logo, object render","Source review; VFX/material owner proof later; no darkness-as-cover acceptance","READY_FOR_BROWSER_GENERATION"
