"queue_order","priority","target","source_or_asset","route_context","why_first","required_visual_proof","reject_condition","status"
"1","P0","Waterline foam/contact","Assets/Crest/Crest/Textures/foam.png; Docs/GeneratedAssets/AssetSystem_20260605/CleanupPass_20260605","02_HECTON_WORLD and Hecton Ocean serialized reachability","Rejected visible foam is active-route reachable and affects surface/shallow first impression","Crest/ocean material readback; replacement source manifest; bright shoreline screenshot; Frame Debugger/Stats","Turquoise pool sheet remains visible, Crest wrapper/clone is used, or no import proof","PENDING_VERIFICATION"
"2","P0","Proxy flora/coral/kelp materials","Assets/_Project/Art/Materials/WorldProceduralProxy/*.mat","02_HECTON_WORLD active scene material refs","Proxy material contamination reaches photic route where cheap flora will be visible","Unity renderer user list; replacement material proof; LOD/silhouette screenshot","WorldProceduralProxy refs remain on active route renderers or replacement looks primitive","PENDING_VERIFICATION"
"3","P1","Aegir hero source","TX_H8AegirGasGiantBakedDisc_1428.png; Aegir/cloud cleanup sources","Surface/sky first-viewport signal","Old baked disc is too soft/toy-like; cleanup sources are not import-ready","Mat_HectonSky/Aegir readback; bright surface screenshot; import role proof","Toy marble/low-res disc remains hero art or storm mask remains blob-like","PENDING_VERIFICATION"
"4","P1","Sky/cloud slots","Mat_HectonSky.mat; clouds0_diff.png; oblaka!.png; bo3.png","Surface/sky readability","Static refs do not prove effective shader slot binding","Unity skybox/material slot readback; cloud layer screenshot","Stale/unbound slots drive sky or surface gets crushed/dark/muddy","PENDING_VERIFICATION"
"5","P1","Wet basalt/shell sand terrain","Terrain Textures basalt/sand; Docs/GeneratedAssets/Batch31_LocalPBR","Photic terrain and shoreline material identity","Source pool exists but direct generated import is rejected","Clean PBR manifest; tile seam proof; terrain material readback; bright route screenshot","Baked lighting, repeated ridges, blurry mud, or random terrain scans become route art","PENDING_VERIFICATION"
"6","P1","Flora/coral imported stacks","WorldProceduralFlora/Imported/*","Photic shallows material source pool","Source art can work but binding/import/streaming proof is absent","Renderer/material readback; import proof; LOD crossfade and screenshot","Organic assets look proxy-flat, candy-gradient, or proxy refs remain","PENDING_VERIFICATION"
"7","P1","Geology prefab candidate pool","Assets/_Project/Prefabs/Nature/Rocks/ProceduralFinals","Route geology and traversal silhouettes","Static candidate pool exists; material route proof is absent","Prefab/material readback; LOD/collider proof; scene screenshot","Primitive-looking rock, wrong collider, missing LOD, or material route unproved","PENDING_VERIFICATION"
"8","P1","Baked flora prefab candidate pool","Assets/_Project/Prefabs/Nature/Flora/Baked","Photic route dressing","Candidate pool exists; needs visual proof before density claims","Prefab/material readback; LOD/silhouette proof; route screenshot","LOD pops, proxy materials, or low-poly silhouettes visible beyond proof distance","PENDING_VERIFICATION"
"9","P1","Oxygen UI sprite route","Assets/_Project/Art/Sprites/ui/OXYGEN.png; Assets/_Project/Art/Sprites/oxygen-tank.png","Suit HUD and inventory readability","Detailed icon source is not proven bound; oxygen-tank is mask/silhouette","Sprite import/atlas readback; HUD screenshot at compact scale","Black oxygen-tank silhouette appears as final colored icon or UI clips","PENDING_VERIFICATION"
"10","P2","Unknown useful texture sources","FLOOR.png; FLOOR1.png; ORGANIC.png; mineral seep masks; plume noise","Unassigned material-source pool","Some unknowns are usable but route ownership is absent","Owner assigns role; import proof; material preview; route screenshot if promoted","Random unassigned texture becomes route art without material role","PENDING_VERIFICATION"
"11","P2","01_ORBIT material refs","Assets/_Project/Scenes/01_ORBIT.unity; prologue/celestial refs","BuildSettings/static context conflict","Scene is enabled but not main handoff by root doctrine; asset route needs boundary separation","Owner clarification; material readback if orbit is used; no main-route claim from orbit refs","Orbit refs inflate main route readiness or hide active-world blockers","PENDING_VERIFICATION"
