path,issues,recommendations
Art/Materials/MAT_Diegetic_HUD_V4_Projection.mat,NO_PROMPT_ORM_SLOT;NO_PACKED_ORM_OR_MASK_SLOT;NO_DETAIL_MAP_SLOT,"Add prompt ORM slot using R=AO, G=Roughness, B=Metallic after shader convention is resolved. | Pack AO/Roughness/Metallic into one ORM map after shader convention is resolved. | Wire shared detail albedo/normal or explicitly mark material as too distant/low-tier."
Art/Materials/Mat_GasGiant.mat,NO_PROMPT_ORM_SLOT;NO_PACKED_ORM_OR_MASK_SLOT;NO_DETAIL_MAP_SLOT,"Add prompt ORM slot using R=AO, G=Roughness, B=Metallic after shader convention is resolved. | Pack AO/Roughness/Metallic into one ORM map after shader convention is resolved. | Wire shared detail albedo/normal or explicitly mark material as too distant/low-tier."
Art/Materials/Mat_HectonSky.mat,UNRESOLVED_TEXTURE_GUID,Resolve the texture GUID inside first-party assets or quarantine the external dependency.
Art/Materials/Mat_HectonSky_CloudOverlay.mat,UNRESOLVED_TEXTURE_GUID,Resolve the texture GUID inside first-party assets or quarantine the external dependency.
Art/Materials/Mat_TriplanarRock.mat,UNRESOLVED_TEXTURE_GUID,Resolve the texture GUID inside first-party assets or quarantine the external dependency.
Art/Materials/Meshy_AI_Alien_barnacles_clust_0301230506_texture.mat,NO_PROMPT_ORM_SLOT;NO_PACKED_ORM_OR_MASK_SLOT;NO_DETAIL_MAP_SLOT,"Add prompt ORM slot using R=AO, G=Roughness, B=Metallic after shader convention is resolved. | Pack AO/Roughness/Metallic into one ORM map after shader convention is resolved. | Wire shared detail albedo/normal or explicitly mark material as too distant/low-tier."
Art/Materials/Skybox.mat,UNRESOLVED_TEXTURE_GUID,Resolve the texture GUID inside first-party assets or quarantine the external dependency.
Art/Materials/Snow.mat,UNRESOLVED_TEXTURE_GUID,Resolve the texture GUID inside first-party assets or quarantine the external dependency.
Art/Materials/terrain.mat,UNRESOLVED_TEXTURE_GUID;NO_PROMPT_ORM_SLOT;NO_PACKED_ORM_OR_MASK_SLOT;NO_DETAIL_MAP_SLOT,"Resolve the texture GUID inside first-party assets or quarantine the external dependency. | Add prompt ORM slot using R=AO, G=Roughness, B=Metallic after shader convention is resolved. | Pack AO/Roughness/Metallic into one ORM map after shader convention is resolved. | Wire shared detail albedo/normal or explicitly mark material as too distant/low-tier."
Art/Materials/Celestial/MAT_CelestialMoon_Ione.mat,NO_PROMPT_ORM_SLOT;NO_PACKED_ORM_OR_MASK_SLOT;NO_DETAIL_MAP_SLOT,"Add prompt ORM slot using R=AO, G=Roughness, B=Metallic after shader convention is resolved. | Pack AO/Roughness/Metallic into one ORM map after shader convention is resolved. | Wire shared detail albedo/normal or explicitly mark material as too distant/low-tier."
Art/Materials/Celestial/MAT_CelestialMoon_Khepri.mat,NO_PROMPT_ORM_SLOT;NO_PACKED_ORM_OR_MASK_SLOT;NO_DETAIL_MAP_SLOT,"Add prompt ORM slot using R=AO, G=Roughness, B=Metallic after shader convention is resolved. | Pack AO/Roughness/Metallic into one ORM map after shader convention is resolved. | Wire shared detail albedo/normal or explicitly mark material as too distant/low-tier."
Art/Materials/Celestial/MAT_CelestialMoon_Nammu.mat,NO_PROMPT_ORM_SLOT;NO_PACKED_ORM_OR_MASK_SLOT;NO_DETAIL_MAP_SLOT,"Add prompt ORM slot using R=AO, G=Roughness, B=Metallic after shader convention is resolved. | Pack AO/Roughness/Metallic into one ORM map after shader convention is resolved. | Wire shared detail albedo/normal or explicitly mark material as too distant/low-tier."
Art/Materials/Celestial/MAT_CelestialMoon_Pelagia.mat,NO_PROMPT_ORM_SLOT;NO_PACKED_ORM_OR_MASK_SLOT;NO_DETAIL_MAP_SLOT,"Add prompt ORM slot using R=AO, G=Roughness, B=Metallic after shader convention is resolved. | Pack AO/Roughness/Metallic into one ORM map after shader convention is resolved. | Wire shared detail albedo/normal or explicitly mark material as too distant/low-tier."
Art/Materials/Celestial/MAT_CelestialMoon_Thalos.mat,NO_PROMPT_ORM_SLOT;NO_PACKED_ORM_OR_MASK_SLOT;NO_DETAIL_MAP_SLOT,"Add prompt ORM slot using R=AO, G=Roughness, B=Metallic after shader convention is resolved. | Pack AO/Roughness/Metallic into one ORM map after shader convention is resolved. | Wire shared detail albedo/normal or explicitly mark material as too distant/low-tier."
Art/Materials/Celestial/MAT_CelestialMoon_Varda.mat,NO_PROMPT_ORM_SLOT;NO_PACKED_ORM_OR_MASK_SLOT;NO_DETAIL_MAP_SLOT,"Add prompt ORM slot using R=AO, G=Roughness, B=Metallic after shader convention is resolved. | Pack AO/Roughness/Metallic into one ORM map after shader convention is resolved. | Wire shared detail albedo/normal or explicitly mark material as too distant/low-tier."
Art/Materials/Construction/Mat_LeakWetSheen.mat,UNRESOLVED_TEXTURE_GUID,Resolve the texture GUID inside first-party assets or quarantine the external dependency.
Art/Materials/Construction/Mat_RuinSeepSheen.mat,NO_PROMPT_ORM_SLOT;NO_PACKED_ORM_OR_MASK_SLOT;NO_DETAIL_MAP_SLOT,"Add prompt ORM slot using R=AO, G=Roughness, B=Metallic after shader convention is resolved. | Pack AO/Roughness/Metallic into one ORM map after shader convention is resolved. | Wire shared detail albedo/normal or explicitly mark material as too distant/low-tier."
Art/Materials/WorldProceduralProxy/MAT_family_coral_branching.mat,NO_PROMPT_ORM_SLOT;LEGACY_MASK_SLOT_REQUIRES_CHANNEL_REVIEW;NO_DETAIL_MAP_SLOT,"Add prompt ORM slot using R=AO, G=Roughness, B=Metallic after shader convention is resolved. | Review legacy mask/gloss channel order before treating it as prompt ORM. | Wire shared detail albedo/normal or explicitly mark material as too distant/low-tier."
Art/Materials/WorldProceduralProxy/MAT_family_coral_brittle.mat,NO_PROMPT_ORM_SLOT;LEGACY_MASK_SLOT_REQUIRES_CHANNEL_REVIEW;NO_DETAIL_MAP_SLOT,"Add prompt ORM slot using R=AO, G=Roughness, B=Metallic after shader convention is resolved. | Review legacy mask/gloss channel order before treating it as prompt ORM. | Wire shared detail albedo/normal or explicitly mark material as too distant/low-tier."
Art/Materials/WorldProceduralProxy/MAT_family_coral_low.mat,NO_PROMPT_ORM_SLOT;LEGACY_MASK_SLOT_REQUIRES_CHANNEL_REVIEW;NO_DETAIL_MAP_SLOT,"Add prompt ORM slot using R=AO, G=Roughness, B=Metallic after shader convention is resolved. | Review legacy mask/gloss channel order before treating it as prompt ORM. | Wire shared detail albedo/normal or explicitly mark material as too distant/low-tier."
Art/Materials/WorldProceduralProxy/MAT_family_coral_massive.mat,NO_PROMPT_ORM_SLOT;LEGACY_MASK_SLOT_REQUIRES_CHANNEL_REVIEW;NO_DETAIL_MAP_SLOT,"Add prompt ORM slot using R=AO, G=Roughness, B=Metallic after shader convention is resolved. | Review legacy mask/gloss channel order before treating it as prompt ORM. | Wire shared detail albedo/normal or explicitly mark material as too distant/low-tier."
Art/Materials/WorldProceduralProxy/MAT_family_coral_plate.mat,NO_PROMPT_ORM_SLOT;LEGACY_MASK_SLOT_REQUIRES_CHANNEL_REVIEW;NO_DETAIL_MAP_SLOT,"Add prompt ORM slot using R=AO, G=Roughness, B=Metallic after shader convention is resolved. | Review legacy mask/gloss channel order before treating it as prompt ORM. | Wire shared detail albedo/normal or explicitly mark material as too distant/low-tier."
Art/Materials/WorldProceduralProxy/MAT_family_kelp_abyssal.mat,NO_PROMPT_ORM_SLOT;LEGACY_MASK_SLOT_REQUIRES_CHANNEL_REVIEW;NO_DETAIL_MAP_SLOT,"Add prompt ORM slot using R=AO, G=Roughness, B=Metallic after shader convention is resolved. | Review legacy mask/gloss channel order before treating it as prompt ORM. | Wire shared detail albedo/normal or explicitly mark material as too distant/low-tier."
Art/Materials/WorldProceduralProxy/MAT_family_kelp_canopy.mat,NO_PROMPT_ORM_SLOT;LEGACY_MASK_SLOT_REQUIRES_CHANNEL_REVIEW;NO_DETAIL_MAP_SLOT,"Add prompt ORM slot using R=AO, G=Roughness, B=Metallic after shader convention is resolved. | Review legacy mask/gloss channel order before treating it as prompt ORM. | Wire shared detail albedo/normal or explicitly mark material as too distant/low-tier."
Art/Materials/WorldProceduralProxy/MAT_family_kelp_patch_dense.mat,NO_PROMPT_ORM_SLOT;LEGACY_MASK_SLOT_REQUIRES_CHANNEL_REVIEW;NO_DETAIL_MAP_SLOT,"Add prompt ORM slot using R=AO, G=Roughness, B=Metallic after shader convention is resolved. | Review legacy mask/gloss channel order before treating it as prompt ORM. | Wire shared detail albedo/normal or explicitly mark material as too distant/low-tier."
Art/Materials/WorldProceduralProxy/MAT_family_kelp_tall.mat,NO_PROMPT_ORM_SLOT;LEGACY_MASK_SLOT_REQUIRES_CHANNEL_REVIEW;NO_DETAIL_MAP_SLOT,"Add prompt ORM slot using R=AO, G=Roughness, B=Metallic after shader convention is resolved. | Review legacy mask/gloss channel order before treating it as prompt ORM. | Wire shared detail albedo/normal or explicitly mark material as too distant/low-tier."
Art/Materials/WorldProceduralProxy/MAT_family_rock_arch_large.mat,NO_PROMPT_ORM_SLOT;NO_PACKED_ORM_OR_MASK_SLOT;NO_DETAIL_MAP_SLOT,"Add prompt ORM slot using R=AO, G=Roughness, B=Metallic after shader convention is resolved. | Pack AO/Roughness/Metallic into one ORM map after shader convention is resolved. | Wire shared detail albedo/normal or explicitly mark material as too distant/low-tier."
Art/Materials/WorldProceduralProxy/MAT_family_rock_cluster_medium.mat,NO_PROMPT_ORM_SLOT;NO_PACKED_ORM_OR_MASK_SLOT;NO_DETAIL_MAP_SLOT,"Add prompt ORM slot using R=AO, G=Roughness, B=Metallic after shader convention is resolved. | Pack AO/Roughness/Metallic into one ORM map after shader convention is resolved. | Wire shared detail albedo/normal or explicitly mark material as too distant/low-tier."
Art/Materials/WorldProceduralProxy/MAT_family_rock_small_floor.mat,NO_PROMPT_ORM_SLOT;NO_PACKED_ORM_OR_MASK_SLOT;NO_DETAIL_MAP_SLOT,"Add prompt ORM slot using R=AO, G=Roughness, B=Metallic after shader convention is resolved. | Pack AO/Roughness/Metallic into one ORM map after shader convention is resolved. | Wire shared detail albedo/normal or explicitly mark material as too distant/low-tier."
Art/Models/Rocks/Rock 6/rock6/rock_6.mat,NO_PROMPT_ORM_SLOT;NO_PACKED_ORM_OR_MASK_SLOT;NO_DETAIL_MAP_SLOT,"Add prompt ORM slot using R=AO, G=Roughness, B=Metallic after shader convention is resolved. | Pack AO/Roughness/Metallic into one ORM map after shader convention is resolved. | Wire shared detail albedo/normal or explicitly mark material as too distant/low-tier."
Art/Models/Rocks/Rock 7/Materials/2.mat,NO_PROMPT_ORM_SLOT;NO_PACKED_ORM_OR_MASK_SLOT;NO_DETAIL_MAP_SLOT,"Add prompt ORM slot using R=AO, G=Roughness, B=Metallic after shader convention is resolved. | Pack AO/Roughness/Metallic into one ORM map after shader convention is resolved. | Wire shared detail albedo/normal or explicitly mark material as too distant/low-tier."
Art/Models/Rocks/Rock_4_-_UNIVERSALNYY_VYBOR/UNIVERSALNYY_VYBOR_(TEKSTURY)/mat_Rock2.mat,UNRESOLVED_TEXTURE_GUID;NO_PROMPT_ORM_SLOT;NO_PACKED_ORM_OR_MASK_SLOT;NO_DETAIL_MAP_SLOT,"Resolve the texture GUID inside first-party assets or quarantine the external dependency. | Add prompt ORM slot using R=AO, G=Roughness, B=Metallic after shader convention is resolved. | Pack AO/Roughness/Metallic into one ORM map after shader convention is resolved. | Wire shared detail albedo/normal or explicitly mark material as too distant/low-tier."
