"priority","category","asset","evidence","current_route","required_owner","required_action","proof_required","status"
"P0","music_mixer_config","Assets/_Project/Data/Audio/Music/Configs/MusicDirectorConfig_Global.asset","Null config field _stingerMixerGroup","MusicDirectorConfig","Audio/MusicDirector owner","Assign approved mixer group or document DSP/native bypass exception","Unity config readback; runtime MusicDirector routing; Console clean","PENDING_VERIFICATION"
"P0","music_mixer_config","Assets/_Project/Data/Audio/Music/Configs/MusicDirectorConfig_Global.asset","Null config field _musicMixerGroup","MusicDirectorConfig","Audio/MusicDirector owner","Assign approved mixer group or document DSP/native bypass exception","Unity config readback; runtime MusicDirector routing; Console clean","PENDING_VERIFICATION"
"P0","player_or_world_loop","Assets/_Project/Audio/Movement/dive_splash.wav","Direct AudioClip ref in Player.prefab line 1067","Prefab direct ref; load=CompressedInMemory; compression=ADPCM; duration=1.729","Player/audio lifecycle owner","Classify owner/load/release/playback route; fill Addressables or documented exception","Prefab readback; owner ledger; runtime playback and 0 B/frame proof","PENDING_VERIFICATION"
"P0","player_or_world_loop","Assets/_Project/Audio/Movement/dive_splash.wav","Direct AudioClip ref in Player.prefab line 1066","Prefab direct ref; load=CompressedInMemory; compression=ADPCM; duration=1.729","Player/audio lifecycle owner","Classify owner/load/release/playback route; fill Addressables or documented exception","Prefab readback; owner ledger; runtime playback and 0 B/frame proof","PENDING_VERIFICATION"
"P0","player_or_world_loop","Assets/_Project/Audio/Underwater Ambient.wav","Direct AudioClip ref in Player.prefab line 137","Prefab direct ref; load=Streaming; compression=Vorbis; duration=193","Player/audio lifecycle owner","Classify owner/load/release/playback route; fill Addressables or documented exception","Prefab readback; owner ledger; runtime playback and 0 B/frame proof","PENDING_VERIFICATION"
"P0","player_or_world_loop","Assets/_Project/Audio/Underwater Ambient.wav","Direct AudioClip ref in Player.prefab line 239","Prefab direct ref; load=Streaming; compression=Vorbis; duration=193","Player/audio lifecycle owner","Classify owner/load/release/playback route; fill Addressables or documented exception","Prefab readback; owner ledger; runtime playback and 0 B/frame proof","PENDING_VERIFICATION"
"P1","import_or_placeholder_risk","Assets/_Project/Audio/VO/Stubs/VOStub_Chen_Log01_EN.wav","Placeholder VO; duration override/localization proof pending","class=voice; load=CompressedInMemory; compression=ADPCM; quality=0.22; duration=1.341","Audio import/lifecycle owner","Resolve import policy conflict and route class; no generic streaming SFX","Unity import readback; runtime memory/mix proof","PENDING_VERIFICATION"
"P1","import_or_placeholder_risk","Assets/_Project/Audio/VO/Stubs/VOStub_Chen_Log01_RU.wav","Placeholder VO; duration override/localization proof pending","class=voice; load=DecompressOnLoad; compression=ADPCM; quality=0.22; duration=1.341","Audio import/lifecycle owner","Resolve import policy conflict and route class; no generic streaming SFX","Unity import readback; runtime memory/mix proof","PENDING_VERIFICATION"
"P1","long_music_bed","Assets/_Project/Audio/Music for Game/abyss_3_Deep Trench Drone.ogg","Profile Abyss TenseLongTracks duration 372.96s","MusicDirector profile cue; tension=0.74; weight=1; volume=0.966","MusicDirector tuning owner","Listening pass; prove pause windows/cadence/no constant bed","Runtime MusicDirector capture; listening notes; mixer route proof","PENDING_VERIFICATION"
"P1","long_music_bed","Assets/_Project/Audio/Music for Game/abyss_6_Deep Water Pressure Hum (1).ogg","Profile Abyss CalmLongTracks duration 317.28s","MusicDirector profile cue; tension=0.46; weight=1; volume=0.902","MusicDirector tuning owner","Listening pass; prove pause windows/cadence/no constant bed","Runtime MusicDirector capture; listening notes; mixer route proof","PENDING_VERIFICATION"
"P1","long_music_bed","Assets/_Project/Audio/Music for Game/ambient_dlinni_1_Sub-Bass Throb.ogg","Profile Fallback Ambient CalmLongTracks duration 407.72s","MusicDirector profile cue; tension=0.34; weight=1; volume=0.794","MusicDirector tuning owner","Listening pass; prove pause windows/cadence/no constant bed","Runtime MusicDirector capture; listening notes; mixer route proof","PENDING_VERIFICATION"
"P1","long_music_bed","Assets/_Project/Audio/Music for Game/ambient_dlinni_2_Sub-Bass Hive.ogg","Profile Fallback Ambient CalmLongTracks duration 379.08s","MusicDirector profile cue; tension=0.34; weight=1; volume=0.692","MusicDirector tuning owner","Listening pass; prove pause windows/cadence/no constant bed","Runtime MusicDirector capture; listening notes; mixer route proof","PENDING_VERIFICATION"
"P1","long_music_bed","Assets/_Project/Audio/Music for Game/cave_ambient_4_Sub-bass Pressure.ogg","Profile Cave CalmLongTracks duration 304.96s","MusicDirector profile cue; tension=0.42; weight=1; volume=1","MusicDirector tuning owner","Listening pass; prove pause windows/cadence/no constant bed","Runtime MusicDirector capture; listening notes; mixer route proof","PENDING_VERIFICATION"
"P1","long_music_bed","Assets/_Project/Audio/Music for Game/shelf_1_Abandoned Depths.ogg","Profile Shelf CalmLongTracks duration 479.96s","MusicDirector profile cue; tension=0.35; weight=1; volume=0.49","MusicDirector tuning owner","Listening pass; prove pause windows/cadence/no constant bed","Runtime MusicDirector capture; listening notes; mixer route proof","PENDING_VERIFICATION"
"P1","long_music_bed","Assets/_Project/Audio/Music for Game/shelf_2_Abandoned Depths (1).ogg","Profile Shelf CalmLongTracks duration 479.96s","MusicDirector profile cue; tension=0.35; weight=1; volume=0.75","MusicDirector tuning owner","Listening pass; prove pause windows/cadence/no constant bed","Runtime MusicDirector capture; listening notes; mixer route proof","PENDING_VERIFICATION"
